country,lat,lon,year,confucius_institutes,confucius_classrooms,sister_cities_established,outbound_political_visits,inbound_political_visits,broader_cadre_visits,ccp_visits,ambassador_op_eds,journalist_visits,content_sharing_partnerships,outbound_chinese_students,inbound_students_to_china,expert_deployments,joint_resource_developments,scholarships,training_programs
Afghanistan,33.7680065,66.2385139,1999,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
Afghanistan,33.7680065,66.2385139,2000,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
Afghanistan,33.7680065,66.2385139,2001,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
Afghanistan,33.7680065,66.2385139,2002,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A
Afghanistan,33.7680065,66.2385139,2003,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A
Afghanistan,33.7680065,66.2385139,2004,0,N/A,0,N/A,N/A,N/A,N/A,N/A,1,0,N/A,N/A,N/A,N/A,N/A,N/A
Afghanistan,33.7680065,66.2385139,2005,0,N/A,0,N/A,N/A,N/A,N/A,N/A,1,0,N/A,N/A,N/A,N/A,N/A,N/A
Afghanistan,33.7680065,66.2385139,2006,0,N/A,0,N/A,N/A,N/A,N/A,N/A,1,0,N/A,N/A,N/A,N/A,N/A,N/A
Afghanistan,33.7680065,66.2385139,2007,0,N/A,0,N/A,N/A,N/A,N/A,N/A,1,0,N/A,N/A,N/A,N/A,N/A,N/A
Afghanistan,33.7680065,66.2385139,2008,1,N/A,0,N/A,N/A,N/A,N/A,N/A,2,0,N/A,N/A,N/A,N/A,N/A,N/A
Afghanistan,33.7680065,66.2385139,2009,1,N/A,0,N/A,N/A,N/A,N/A,N/A,3,0,N/A,N/A,N/A,N/A,N/A,N/A
Afghanistan,33.7680065,66.2385139,2010,1,0,0,0,1,1,1,N/A,4,0,N/A,225,N/A,N/A,N/A,N/A
Afghanistan,33.7680065,66.2385139,2011,1,0,0,0,0,0,0,N/A,4,0,N/A,291,N/A,N/A,N/A,N/A
Afghanistan,33.7680065,66.2385139,2012,1,0,0,0,1,1,1,N/A,5,0,N/A,335,N/A,N/A,N/A,N/A
Afghanistan,33.7680065,66.2385139,2013,1,0,0,0,1,1,1,N/A,5,0,N/A,385,N/A,N/A,N/A,N/A
Afghanistan,33.7680065,66.2385139,2014,1,0,0,0,2,2,2,N/A,5,0,0,457,N/A,N/A,N/A,N/A
Afghanistan,33.7680065,66.2385139,2015,1,0,0,0,1,1,1,N/A,5,0,N/A,496,N/A,N/A,N/A,N/A
Afghanistan,33.7680065,66.2385139,2016,1,0,0,0,1,1,1,N/A,5,0,N/A,742,N/A,N/A,N/A,N/A
Afghanistan,33.7680065,66.2385139,2017,1,0,1,0,0,0,0,N/A,5,0,N/A,1277,N/A,N/A,N/A,N/A
Afghanistan,33.7680065,66.2385139,2018,1,0,0,0,1,1,1,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A
Afghanistan,33.7680065,66.2385139,2019,1,N/A,N/A,0,0,0,0,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
Afghanistan,33.7680065,66.2385139,2020,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
Afghanistan,33.7680065,66.2385139,2021,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
Afghanistan,33.7680065,66.2385139,Date Not Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A
Bhutan,27.549511,90.5119273,1999,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
Bhutan,27.549511,90.5119273,2000,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
Bhutan,27.549511,90.5119273,2001,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
Bhutan,27.549511,90.5119273,2002,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A
Bhutan,27.549511,90.5119273,2003,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A
Bhutan,27.549511,90.5119273,2004,0,N/A,0,N/A,N/A,N/A,N/A,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A
Bhutan,27.549511,90.5119273,2005,0,N/A,0,N/A,N/A,N/A,N/A,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A
Bhutan,27.549511,90.5119273,2006,0,N/A,0,N/A,N/A,N/A,N/A,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A
Bhutan,27.549511,90.5119273,2007,0,N/A,0,N/A,N/A,N/A,N/A,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A
Bhutan,27.549511,90.5119273,2008,0,N/A,0,N/A,N/A,N/A,N/A,N/A,1,0,N/A,N/A,N/A,N/A,N/A,N/A
Bhutan,27.549511,90.5119273,2009,0,N/A,0,N/A,N/A,N/A,N/A,N/A,2,0,N/A,N/A,N/A,N/A,N/A,N/A
Bhutan,27.549511,90.5119273,2010,0,0,0,0,0,0,0,N/A,2,0,N/A,N/A,N/A,N/A,N/A,N/A
Bhutan,27.549511,90.5119273,2011,0,0,0,0,0,0,0,N/A,2,0,N/A,N/A,N/A,N/A,N/A,N/A
Bhutan,27.549511,90.5119273,2012,0,0,0,0,0,0,0,N/A,2,0,N/A,N/A,N/A,N/A,N/A,N/A
Bhutan,27.549511,90.5119273,2013,0,0,0,0,0,0,0,N/A,2,0,N/A,N/A,N/A,N/A,N/A,N/A
Bhutan,27.549511,90.5119273,2014,0,0,0,0,0,0,0,N/A,2,0,N/A,N/A,N/A,N/A,N/A,N/A
Bhutan,27.549511,90.5119273,2015,0,0,0,0,0,0,0,N/A,2,0,N/A,N/A,N/A,N/A,N/A,N/A
Bhutan,27.549511,90.5119273,2016,0,0,0,0,0,0,0,N/A,2,0,N/A,99,N/A,N/A,N/A,N/A
Bhutan,27.549511,90.5119273,2017,0,0,0,0,0,0,0,N/A,2,0,N/A,N/A,N/A,N/A,N/A,N/A
Bhutan,27.549511,90.5119273,2018,0,0,0,0,0,0,0,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
Bhutan,27.549511,90.5119273,2019,0,N/A,N/A,0,0,0,0,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
Bhutan,27.549511,90.5119273,2020,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
Bhutan,27.549511,90.5119273,2021,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
Bhutan,27.549511,90.5119273,Date Not Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A
Brunei,4.4137155,114.5653908,1999,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
