year,recipient,sec_01_arms_transfer_tiv,sec_01_arms_transfer_tiv_delivered,sec_01_arms_transfer_orders_ct,sec_01_missing_transfer_tiv,sec_02_surveillance_usd,sec_02_surveillance_ct,sec_03_military_engagement_ct,sec_04_joint_exercise_ct,dev_02_infrastructure_usd,dev_02_infrastructure_ct,civ_02_healthcare_usd,civ_02_healthcare_ct,civ_03_outbound_visits_ct,civ_03_inbound_visits_ct,civ_03_total_visits_ct,civ_04_csps_ct,civ_05_judicial_engagement_ct,civ_06_ci_ct,civ_06_cc_ct,civ_06_ci_cc_ct,lat,lon
2017,Afghanistan,1.5,1.5,1,0,NA,NA,2,NA,163275809.4189704,5,NA,NA,0,0,0,0,1,0,0,0,33.7680065,66.2385139
2005,Indonesia,2.7,2.7,1,0,NA,NA,NA,NA,395066482.0962311,5,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,-2.4833826,117.8902853
2006,Indonesia,13,13,1,0,NA,NA,2,NA,2955096764.4299617,1,5702569.738534382,1,NA,NA,NA,0,NA,NA,NA,NA,-2.4833826,117.8902853
2008,Indonesia,108,108,3,0,NA,NA,2,NA,3071943569.7023706,7,736202.0701300673,1,NA,NA,NA,0,NA,NA,NA,NA,-2.4833826,117.8902853
2009,Indonesia,64.5,64.5,4,0,NA,NA,2,NA,4725630436.078779,10,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,-2.4833826,117.8902853
2011,Indonesia,102.5,86.5,2,16,NA,NA,3,1,372233279.9148881,4,NA,NA,2,0,2,0,NA,2,0,2,-2.4833826,117.8902853
2013,Indonesia,8,8,1,0,NA,NA,4,1,4249615701.906606,6,NA,NA,1,0,1,0,NA,1,0,1,-2.4833826,117.8902853
2014,Indonesia,10,10,1,0,NA,NA,4,3,1822462140.3676152,11,NA,NA,0,1,1,2,1,0,1,1,-2.4833826,117.8902853
2015,Indonesia,10.4,10.4,3,0,NA,NA,3,NA,8255373840.820095,22,NA,NA,1,1,2,0,NA,1,1,2,-2.4833826,117.8902853
2016,Indonesia,12,12,2,0,NA,NA,3,2,4967849745.952227,16,NA,NA,0,1,1,6,NA,0,1,1,-2.4833826,117.8902853
2017,Indonesia,27.6,27.6,3,0,NA,NA,1,NA,7540367323.600352,25,NA,NA,0,1,1,0,1,0,1,1,-2.4833826,117.8902853
2023,Indonesia,5,5,1,0,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,-2.4833826,117.8902853
2015,Kazakhstan,11,11,2,0,NA,NA,1,1,2887638859.2785444,4,NA,NA,1,3,4,0,1,1,3,4,48.1012954,66.7780818
2006,Lao People's Democratic Republic,6.5,6.5,1,0,NA,NA,1,NA,25480247.23164072,2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,20.0171109,103.378253
2010,Lao People's Democratic Republic,16,16,1,0,NA,NA,2,NA,588404107.8418888,7,NA,NA,0,1,1,0,NA,0,1,1,20.0171109,103.378253
2012,Lao People's Democratic Republic,16,16,1,0,NA,NA,3,NA,808715488.458196,10,0,3,1,2,3,0,NA,1,2,3,20.0171109,103.378253
2015,Lao People's Democratic Republic,2.16,2.16,1,0,NA,NA,3,NA,774172247.0146557,8,0,1,0,2,2,0,NA,0,2,2,20.0171109,103.378253
2016,Lao People's Democratic Republic,2.4,2.4,1,0,NA,NA,2,NA,5134602908.867711,18,39161596.84957916,2,1,4,5,1,NA,1,4,5,20.0171109,103.378253
2017,Lao People's Democratic Republic,52.3,52.3,4,0,NA,NA,2,NA,3493867006.590027,17,113031949.54854625,4,1,1,2,0,1,1,1,2,20.0171109,103.378253
2018,Lao People's Democratic Republic,8,8,1,0,NA,NA,2,1,489309145.4855636,11,0,2,0,0,0,0,NA,0,0,0,20.0171109,103.378253
2022,Lao People's Democratic Republic,3.2,3.2,1,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,20.0171109,103.378253
2008,Malaysia,5.12,5.12,1,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,4.5693754,102.2656823
2017,Malaysia,110,110,1,0,NA,NA,4,NA,4930141865.081237,5,NA,NA,0,1,1,1,1,0,1,1,4.5693754,102.2656823
2001,Myanmar,30.5,30.5,2,0,NA,NA,NA,NA,300449298.02227706,4,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,17.1750495,95.9999652
2002,Myanmar,56.25,56.25,1,0,NA,NA,1,NA,0,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,17.1750495,95.9999652
2005,Myanmar,21.5,21.5,2,0,1251863.7455156266,2,NA,NA,100185256.60162045,2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,17.1750495,95.9999652
2006,Myanmar,234,234,1,0,NA,NA,1,NA,985393951.0747466,7,142564.24346335928,1,NA,NA,NA,0,NA,NA,NA,NA,17.1750495,95.9999652
2007,Myanmar,18,18,1,0,NA,NA,1,NA,1867025111.960337,7,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,17.1750495,95.9999652
2008,Myanmar,11.6,11.6,2,0,NA,NA,3,NA,12270034.502167715,1,0,1,NA,NA,NA,0,NA,NA,NA,NA,17.1750495,95.9999652
2009,Myanmar,390,316.5,5,73.5,NA,NA,1,NA,433240009.4704117,2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,17.1750495,95.9999652
2010,Myanmar,164.3,164.3,6,0,NA,NA,2,NA,6253853068.268192,7,NA,NA,1,1,2,0,NA,1,1,2,17.1750495,95.9999652
2011,Myanmar,165.4,165.4,6,0,NA,NA,3,NA,550128169.2405095,7,NA,NA,0,1,1,0,NA,0,1,1,17.1750495,95.9999652
2013,Myanmar,408.8,408.8,3,0,NA,NA,3,NA,377540898.17390823,8,0,1,0,2,2,0,NA,0,2,2,17.1750495,95.9999652
2015,Myanmar,197.9,197.9,6,0,49168057.354937315,2,2,NA,234215488.42844316,3,NA,NA,0,2,2,1,NA,0,2,2,17.1750495,95.9999652
2016,Myanmar,18.75,18.75,1,0,NA,NA,1,NA,114600905.52742906,5,2060715.9543863744,1,0,1,1,0,NA,0,1,1,17.1750495,95.9999652
2019,Myanmar,0,2.4,1,-2.4,336819.73080908763,1,1,NA,140337122.22860533,4,0,4,0,0,0,0,1,0,0,0,17.1750495,95.9999652
2020,Myanmar,164,164,3,0,NA,NA,1,NA,53724673.19571708,2,14951582.21480535,67,NA,NA,NA,0,NA,NA,NA,NA,17.1750495,95.9999652
2021,Myanmar,23,23,1,0,NA,NA,NA,NA,140956814.85926467,1,184552263.38797775,29,NA,NA,NA,0,NA,NA,NA,NA,17.1750495,95.9999652
2023,Myanmar,23,23,1,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.1750495,95.9999652
2005,Nepal,1.75,1.75,1,0,NA,NA,1,NA,12444945.001004484,1,6845352.109037502,1,NA,NA,NA,0,NA,NA,NA,NA,28.3780464,83.9999901
2015,Nepal,24.45,24.45,1,0,NA,NA,NA,NA,34068365.911237724,4,NA,NA,0,1,1,0,NA,0,1,1,28.3780464,83.9999901
2001,Pakistan,527,527,2,0,NA,NA,1,NA,557534393.3820277,6,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,30.3308401,71.247499
2002,Pakistan,121,121,1,0,NA,NA,4,NA,447834664.7306471,2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,30.3308401,71.247499
2003,Pakistan,170.55,170.55,6,0,NA,NA,2,1,500979278.4804542,2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,30.3308401,71.247499
