year,recipient,sec_01_arms_transfer_tiv,sec_01_arms_transfer_tiv_delivered,sec_01_arms_transfer_orders_ct,sec_01_missing_transfer_tiv,sec_02_surveillance_usd,sec_02_surveillance_ct,sec_03_military_engagement_ct,sec_04_joint_exercise_ct,dev_01_currency_swap_line_extant,dev_01_currency_swap_usd,dev_02_infrastructure_usd,dev_02_infrastructure_ct,dev_03_fdi_usd,dev_03_fdi_derived_usd,dev_04_sez_usd,dev_04_sez_proj_ct,dev_04_sez_unique_site,civ_01_united_front_presence,civ_02_healthcare_usd,civ_02_healthcare_ct,civ_03_outbound_visits_ct,civ_03_inbound_visits_ct,civ_03_total_visits_ct,civ_04_csps_ct,civ_05_judicial_engagement_ct,civ_06_ci_ct,civ_06_cc_ct,civ_06_ci_cc_ct,lat,lon
1999,Afghanistan,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,33.7680065,66.2385139
1999,Bangladesh,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,24.4769288,90.2934413
1999,Bhutan,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,27.549511,90.5119273
1999,Brunei Darussalam,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,4.4137155,114.5653908
1999,Cambodia,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,0,NA,0,0,0,12.5433216,104.8144914
1999,Democratic People's Republic of Korea,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,0,0,0,40.3736611,127.0870417
1999,India,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,22.3511148,78.6677428
1999,Indonesia,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,0,NA,0,0,0,-2.4833826,117.8902853
1999,Japan,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,1,NA,0,0,0,36.5748441,139.2394179
1999,Kazakhstan,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,48.1012954,66.7780818
1999,Kyrgyz Republic,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,0,NA,0,0,0,41.5089324,74.724091
1999,Lao People's Democratic Republic,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,0,NA,0,0,0,20.0171109,103.378253
1999,Malaysia,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,0,NA,0,0,0,4.5693754,102.2656823
1999,Mongolia,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,46.8250388,103.8499736
1999,Myanmar,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,17.1750495,95.9999652
1999,Nepal,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,28.3780464,83.9999901
1999,Pakistan,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,30.3308401,71.247499
1999,Philippines,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,1,NA,0,0,0,14.5904492,120.9803621
1999,Russia,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,0,NA,0,0,0,64.6863136,97.7453061
1999,Singapore,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,1.357107,103.8194992
1999,South Korea,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,0,NA,0,0,0,36.638392,127.6961188
1999,Tajikistan,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,38.6281733,70.8156541
1999,Thailand,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,0,NA,0,0,0,14.8971921,100.83273
1999,Turkmenistan,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,39.3763807,59.3924609
1999,Uzbekistan,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,41.32373,63.9528098
1999,Viet Nam,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,15.9266657,107.9650855
2000,Afghanistan,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,33.7680065,66.2385139
2000,Bangladesh,2.19,2.19,2,0,NA,NA,NA,NA,N,NA,318008144.8620181,3,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,24.4769288,90.2934413
2000,Bhutan,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,27.549511,90.5119273
2000,Brunei Darussalam,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,4.4137155,114.5653908
2000,Cambodia,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,99853889.77253732,4,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,0,NA,0,0,0,12.5433216,104.8144914
2000,Democratic People's Republic of Korea,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,0,0,0,40.3736611,127.0870417
2000,India,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,22.3511148,78.6677428
2000,Indonesia,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,1,NA,0,0,0,-2.4833826,117.8902853
2000,Japan,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,0,NA,0,0,0,36.5748441,139.2394179
2000,Kazakhstan,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,48.1012954,66.7780818
2000,Kyrgyz Republic,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,0,NA,0,0,0,41.5089324,74.724091
2000,Lao People's Democratic Republic,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,100576435.29833263,1,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,0,NA,0,0,0,20.0171109,103.378253
2000,Malaysia,NA,NA,NA,NA,NA,NA,1,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,0,NA,0,0,0,4.5693754,102.2656823
2000,Mongolia,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,121385352.94626343,2,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,46.8250388,103.8499736
2000,Myanmar,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,1016902582.0787659,10,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,17.1750495,95.9999652
2000,Nepal,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,21014587.234510183,1,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,28.3780464,83.9999901
2000,Pakistan,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,9537420.588634986,2,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,30.3308401,71.247499
2000,Philippines,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,0,NA,0,0,0,14.5904492,120.9803621
2000,Russia,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,0,NA,0,0,0,64.6863136,97.7453061
2000,Singapore,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,1.357107,103.8194992
2000,South Korea,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,0,NA,0,0,0,36.638392,127.6961188
2000,Tajikistan,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,38.6281733,70.8156541
2000,Thailand,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,4286653.456699107,1,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,0,NA,0,0,0,14.8971921,100.83273
2000,Turkmenistan,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,39.3763807,59.3924609
2000,Uzbekistan,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,41.32373,63.9528098
2000,Viet Nam,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,136653240.48948717,3,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,15.9266657,107.9650855
2001,Afghanistan,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,33.7680065,66.2385139
2001,Bangladesh,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,897538035.6971186,3,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,24.4769288,90.2934413
2001,Bhutan,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,27.549511,90.5119273
2001,Brunei Darussalam,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,4.4137155,114.5653908
2001,Cambodia,NA,NA,NA,NA,225042.05367486048,1,NA,NA,N,NA,31090273.784119338,4,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,0,NA,0,0,0,12.5433216,104.8144914
2001,Democratic People's Republic of Korea,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,0,0,0,40.3736611,127.0870417
2001,India,NA,NA,NA,NA,NA,NA,1,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,22.3511148,78.6677428
2001,Indonesia,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,13594176.537154648,1,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,1,NA,0,0,0,-2.4833826,117.8902853
